MOF,Uptake,Pressure,H,C,N,F,Cl,Br,V,Cu,Zn,Zr,ASA_m^2/g_15prb,NASA_m^2/g_15prb,AV_cm^3/g_15prb,NAV_cm^3/g_15prb,POAV_cm^3/g_15prb,PONAV_cm^3/g_15prb,PLD,LCD,LFPD,Density,Volume,TotalDegreeOfUnsaturation,MetallicPercentage,OxygenToMetalRatio,ElectronegativeToTotalRatio,WeightedElectronegativityPerAtom,NitrogenToOxygen,Epoch40,Epoch1000,Epoch4000,Epoch40Ave,Epoch4000Ave,Epoch1000Ave,HenryCoeff_CO2
PIHNUQ,1.076230748,4000,0.030034916,0.037543644,0.00250291,0,0,0,0,0,0.00250291,0,380.771,0,0.0109474,0,0.0903163,0,3.61556,4.33002,4.33002,1.46153,1598.14,36,6.666666667,5,0.176470588,0.595294118,0.2,0,54.74146689,204.1330641,0,1.500978413,0.402510786,0.000651265
PIHWAG,0.0041217,40,0.011610282,0.027090657,0,0,0,0,0,0,0,0,1175.92,0,0.142473,0,0.330335,0,7.69473,8.27361,8.27361,1.26901,1550.35,34,4.761904762,6,0.15,0.516,0,6.265141514,40.07579145,127.9532016,0.078314269,1.59941502,0.500947393,9.71E-05
PIHWAG,0.097725075,1000,0.011610282,0.027090657,0,0,0,0,0,0,0,0,1175.92,0,0.142473,0,0.330335,0,7.69473,8.27361,8.27361,1.26901,1550.35,34,4.761904762,6,0.15,0.516,0,6.265141514,40.07579145,127.9532016,0.078314269,1.59941502,0.500947393,9.71E-05
PIHWAG,0.397272758,4000,0.011610282,0.027090657,0,0,0,0,0,0,0,0,1175.92,0,0.142473,0,0.330335,0,7.69473,8.27361,8.27361,1.26901,1550.35,34,4.761904762,6,0.15,0.516,0,6.265141514,40.07579145,127.9532016,0.078314269,1.59941502,0.500947393,9.71E-05
PIJROR,0.005597639,40,0.011650636,0.027184818,0,0,0,0,0,0,0,0,1164.06,0,0.141064,0,0.329619,0,7.67913,8.28575,8.28575,1.27602,1544.98,34,4.761904762,6,0.15,0.516,0,7.967766955,41.97634623,129.8537564,0.099597087,1.623171955,0.524704328,0.000147039
PIJROR,0.130669916,1000,0.011650636,0.027184818,0,0,0,0,0,0,0,0,1164.06,0,0.141064,0,0.329619,0,7.67913,8.28575,8.28575,1.27602,1544.98,34,4.761904762,6,0.15,0.516,0,7.967766955,41.97634623,129.8537564,0.099597087,1.623171955,0.524704328,0.000147039
PIJROR,0.537029871,4000,0.011650636,0.027184818,0,0,0,0,0,0,0,0,1164.06,0,0.141064,0,0.329619,0,7.67913,8.28575,8.28575,1.27602,1544.98,34,4.761904762,6,0.15,0.516,0,7.967766955,41.97634623,129.8537564,0.099597087,1.623171955,0.524704328,0.000147039
PIKBUH,0.002667254,40,0.021310602,0.022949879,0,0,0,0,0,0,0,0,0,136.532,0,0.0039481,0,0.0388736,2.84803,4.01814,3.99347,1.97564,2440.1,31,21.42857143,4.666666667,0.304347826,1.046956522,0,8.994794023,110.7925991,312.9106424,0.04888475,1.700601318,0.602133691,5.95E-05
PIKBUH,0.06153437,1000,0.021310602,0.022949879,0,0,0,0,0,0,0,0,0,136.532,0,0.0039481,0,0.0388736,2.84803,4.01814,3.99347,1.97564,2440.1,31,21.42857143,4.666666667,0.304347826,1.046956522,0,8.994794023,110.7925991,312.9106424,0.04888475,1.700601318,0.602133691,5.95E-05
PIKBUH,0.199888246,4000,0.021310602,0.022949879,0,0,0,0,0,0,0,0,0,136.532,0,0.0039481,0,0.0388736,2.84803,4.01814,3.99347,1.97564,2440.1,31,21.42857143,4.666666667,0.304347826,1.046956522,0,8.994794023,110.7925991,312.9106424,0.04888475,1.700601318,0.602133691,5.95E-05
